timesteps,episode_reward,episode_length
57648,4.111885,21
57656,-0.917543,1
57656,11.651827,110
57672,2.208936,2
57672,7.09095,52
57720,10.386024,89
57776,2.422911,44
57960,19.308246,165
57960,6.473543,52
58080,1.244314,15
58136,-0.87556,7
58160,1.978057,63
58192,-0.340743,7
58192,4.602664,59
58272,0.356097,10
58304,3.362176,14
58336,5.503473,47
58376,11.181784,88
58392,0.253155,15
58424,-1.056405,4
58464,-0.137222,11
58480,7.46367,40
58552,7.986537,136
58584,3.938879,31
58592,-0.946075,1
58592,4.540917,36
58632,5.709986,19
58640,-0.027579,6
58672,14.692478,112
58680,0.07938,5
58808,4.449714,22
58952,14.03831,160
58952,3.869514,45
59056,13.11247,74
59072,4.663241,49
59104,11.15395,85
59120,2.518544,71
59168,7.230674,62
59208,-1.206572,13
59224,7.149145,34
59248,8.451224,37
59280,1.264429,28
59528,2.820425,35
59552,2.670286,43
59576,12.295447,96
59608,8.402526,61
59624,8.021685,69
59648,5.700483,53
59656,3.36451,13
59664,-1.0762,2
59768,-0.532227,20
59880,5.260421,27
59904,7.478373,92
59960,4.090081,48
59984,0.693227,13
60024,0.150852,15
60168,4.318322,26
60240,8.141753,73
60272,1.261122,31
60328,9.299599,88
60336,12.928612,101
60368,1.390429,25
60408,0.706147,21
60408,5.980043,53
60464,1.279289,17
60504,0.797253,29
60592,0.319877,23
60648,4.474506,35
60752,5.340974,20
60808,19.663249,191
60904,14.09423,142
60936,7.56893,75
60968,0.451093,20
61064,0.41305,12
61152,9.33753,63
61168,11.444903,88
61288,15.151123,110
61296,14.572245,99
61312,-0.698599,2
61368,-1.295321,38
61424,-0.435728,32
61432,-0.152234,15
61448,9.806061,87
61480,4.428453,68
61512,8.651715,45
61536,0.725655,11
61712,5.707104,53
61784,4.654713,31
61912,7.20363,50
61968,0.288423,23
61976,4.553594,33
62000,2.443335,3
62168,3.130784,32
62256,4.53178,104
62264,13.182887,98
62264,8.634499,104
62280,16.370544,172
62320,-1.099374,5
62416,14.005236,131
62464,5.594521,25
62488,9.139164,61
62712,6.157268,49
62728,0.983878,33
62784,-0.979536,9
62832,6.518731,72
62976,1.353005,70
62984,9.046913,102
63000,15.509515,129
63080,5.7539,74
63080,12.917326,102
63320,1.614213,42
63328,-0.81084,1
63344,5.472544,70
63488,4.438933,51
63496,0.703319,19
63496,8.016054,62
63544,0.356246,6
63608,2.949872,79
63624,1.099816,17
63624,0.599794,10
63648,10.537945,102
63656,4.999309,20
63808,11.677925,135
63944,1.680056,17
63960,7.443987,44
64016,13.10685,117
64048,3.745996,49
64072,5.273837,56
64096,-1.736807,6
64104,1.400516,18
64112,-0.862864,1
64232,9.805244,76
64312,6.574287,25
64320,3.187073,47
64384,4.987322,36
64400,13.946208,134
64448,7.021698,54
64456,1.032612,18
64520,1.383196,17
64648,4.755352,16
64664,4.208384,27
64720,12.423731,134
64720,10.383315,81
64864,-0.219018,27
64936,2.094308,34
65080,15.42915,85
65080,1.352448,18
65128,9.963064,101
65144,15.793995,114
65160,2.831194,10
65176,0.835298,12
65392,3.19012,33
65504,12.261458,131
65560,15.151349,105
65560,7.51065,52
65640,2.468252,31
65664,-0.331498,3
65808,15.522521,81
65816,6.388376,32
65816,1.217281,32
65824,-0.475478,2
65840,6.048334,42
65888,16.051438,89
65936,0.062018,14
65960,2.820094,137
66040,0.831574,13
66112,2.666841,28
66168,2.484488,44
66192,1.134753,29
66304,17.608214,198
66440,4.285791,75
66512,7.609811,59
66656,10.647453,61
66688,12.013117,128
66712,18.719702,112
66776,12.985609,73
66824,8.400391,65
66832,1.99,1
66888,0.519025,47
66896,6.867348,98
66928,4.586463,30
66952,6.237533,30
67048,4.817841,19
67256,9.081203,46
67280,9.220283,78
67288,1.912779,1
67384,15.69348,118
67416,10.275421,73
67440,2.650828,7
67464,16.631651,86
67512,-0.233432,6
67568,7.771588,77
67592,5.079994,38
67600,-0.173844,4
67664,5.643002,31
67856,9.936785,116
67864,5.244669,102
67880,1.797916,36
67880,1.547383,27
67992,14.038631,92
68032,-0.151856,5
68064,5.951102,25
68128,7.293831,86
68136,10.292723,78
68144,-0.552718,2
68280,2.92996,50
68304,5.448568,34
68416,15.145473,102
68416,4.332141,35
68440,6.713809,37
68536,2.358332,32
68664,2.740129,16
68704,15.483823,106
68712,6.115824,34
68736,0.246773,9
68744,7.06986,85
68760,6.669575,43
68920,3.562398,23
68920,18.770769,130
68984,-0.046366,8
69008,4.694501,38
69024,7.367819,90
69056,0.709809,6
69064,-0.619627,5
69272,6.100014,66
69344,2.954993,36
69352,3.386475,74
69384,1.015709,50
69448,0.108666,13
69456,3.929686,13
69488,13.975715,134
69488,8.48393,71
69544,-0.838967,11
69640,5.23714,72
69648,2.996275,20
69664,12.091081,119
69688,8.610819,52
69848,3.566979,20
69928,3.421221,35
69952,6.951518,71
69960,12.489536,64
70136,2.879432,23
70144,2.090634,23
70208,9.295581,90
70224,0.48426,37
70248,8.758399,88
70320,0.547257,12
70336,4.271187,61
70408,4.036522,96
70432,2.964254,23
70432,0.764393,36
70536,3.86815,25
70544,8.925776,110
70728,2.879268,24
70744,4.464239,76
70816,8.446256,48
70840,1.894544,54
70976,4.80097,20
70976,9.271859,96
71168,6.514621,41
71344,2.336344,46
71360,9.949034,116
71368,3.121213,25
71376,6.058553,104
71384,8.022365,80
71440,15.235258,89
71552,3.031611,26
71576,17.215843,157
71600,6.281662,30
71624,1.772561,30
71656,0.664403,10
71832,6.632251,22
71880,10.535257,113
71880,8.396807,41
71960,4.110068,45
71960,10.192752,74
72112,0.556024,29
72152,5.30395,34
72248,8.312942,52
72264,2.20378,2
72400,13.650841,120
72424,-0.365375,3
72424,1.08675,131
72552,9.029428,50
72560,6.410021,75
72568,-0.591641,18
72592,18.799145,121
72672,-1.002582,15
72688,6.12245,91
72696,10.526834,73
72696,4.725316,16
72800,4.444369,26
72872,0.166826,9
72896,-0.59773,3
72920,8.016805,45
72920,8.780555,62
73024,12.08647,95
73064,1.218587,18
73192,10.378938,65
73200,5.482983,35
73208,-1.580904,2
73328,7.608541,33
73400,0.374216,9
73416,11.711835,91
73440,6.365034,93
73528,2.819307,11
73552,14.718342,82
73576,14.086944,110
73584,6.228979,48
73624,9.911855,52
73720,1.120574,24
73824,5.474645,51
73840,16.427202,102
74008,10.261998,54
74024,-0.812651,25
74056,5.839388,59
74080,3.508198,9
74120,12.959326,71
74160,7.329886,55
74200,11.953483,100
74272,13.265423,81
74512,1.33909,30
74528,9.379274,46
74624,8.490012,53
